Comment,Designator,Footprint,LCSC,Quantity
1TS009A-1800-5000-CT,"SW1,SW2",SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,C319409,2
AP62250WU-7,U8,TSOT-23-6,C5184228,1
BAT54SLT1G,"D10,D13,D2,D3",SOT-23,C19726,4
BZX84C15LT1G,D9,SOT-23,C80857,1
INA229AIDGSR,U2,TSSOP-10_3x3mm_P0.5mm,C2846803,1
INA281A3IDBVR,U3,SOT-23-5,C1517407,1
MAX31865xTP,U1,TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm,C118474,1
MBRB20200CT,"D16,D4",TO-263-2,C3874012,2
MMBT3904LT1G,Q1,SOT-23,C81464,1
OPA171AIDBVR,U5,SOT-23-5,C88036,1
SMAJ14A,D18,D_SMA,C99286,1
SRV05-4,"U10,U6,U7,U9",SOT-23-6,C1975211,4
TC4422ESM,U4,SOIC-8_5.3x5.3mm_P1.27mm,C638566,1
XFL4020-222MEC,L3,L_Wurth_WE-LQSH-4020,C122469,1
10R 1% 0805,R18,R_0805_2012Metric,,1
330R 1% 0805,R24,R_0805_2012Metric,,1
330R 1% 0805,R40,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C5,C_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C10,C_0805_2012Metric,,1
33R 1% 0805,R20,R_0805_2012Metric,,1
10K 1% 0805,R23,R_0805_2012Metric,,1
YLED0805 Red,D6,LED_0805_2012Metric,,1
SS110,D5,D_SMA_Handsoldering,,1
10R 1% 0805,R10,R_0805_2012Metric,,1
4.7K 1% 0805,R22,R_0805_2012Metric,,1
75K 1% 0805,R17,R_0805_2012Metric,,1
1uF 10% 100V X7R 1206,C40,C_1206_3216Metric,,1
100nF 10% 50V X7R 0805,C27,C_0805_2012Metric,,1
1nF 10% 1KV X7R 1206,C25,C_1206_3216Metric,,1
100K 1% 0805,R53,R_0805_2012Metric,,1
10K 1% 0805,R15,R_0805_2012Metric,,1
1uF 10% 100V X7R 1206,C42,C_1206_3216Metric,,1
10K 1% 0805,R1,R_0805_2012Metric,,1
22uF 10% 25V X7R 1210,C23,C_1210_3225Metric,,1
1uF 10% 100V X7R 1206,C44,C_1206_3216Metric,,1
100nF 10% 50V X7R 0805,C3,C_0805_2012Metric,,1
1uF 10% 100V X7R 1206,C37,C_1206_3216Metric,,1
33R 1% 0805,R47,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C19,C_0805_2012Metric,,1
100m 3W 1% 2512,R29,R_2512_6332Metric,,1
10K 1% 0805,R8,R_0805_2012Metric,,1
330R 1% 0805,R42,R_0805_2012Metric,,1
4.7K 1% 0805,R31,R_0805_2012Metric,,1
10R 1% 0805,R19,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C9,C_0805_2012Metric,,1
YLED0805 Red,D11,LED_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C43,C_0805_2012Metric,,1
33R 1% 0805,R49,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C21,C_0805_2012Metric,,1
10R 1% 0805,R11,R_0805_2012Metric,,1
33R 1% 0805,R50,R_0805_2012Metric,,1
33R 1% 0805,R32,R_0805_2012Metric,,1
4.7K 1% 0805,R28,R_0805_2012Metric,,1
330R 1% 0805,R33,R_0805_2012Metric,,1
SS110,D1,D_SMA_Handsoldering,,1
100nF 10% 50V X7R 0805,C18,C_0805_2012Metric,,1
YLED0805 Red,D12,LED_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C20,C_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C28,C_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C45,C_0805_2012Metric,,1
400R 0.1% 0805,R2,R_0805_2012Metric,,1
4.7K 1% 0805,R21,R_0805_2012Metric,,1
1nF 10% 1KV X7R 1206,C16,C_1206_3216Metric,,1
100nF 10% 50V X7R 0805,C41,C_0805_2012Metric,,1
10K 1% 0805,R5,R_0805_2012Metric,,1
4.7R 3W 1% 2512,R27,R_2512_6332Metric,,1
75K 1% 0805,R30,R_0805_2012Metric,,1
33R 1% 0805,R51,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C33,C_0805_2012Metric,,1
75K 1% 0805,R16,R_0805_2012Metric,,1
330R 1% 0805,R41,R_0805_2012Metric,,1
330R 1% 0805,R36,R_0805_2012Metric,,1
1uF 10% 100V X7R 1206,C38,C_1206_3216Metric,,1
330R 1% 0805,R45,R_0805_2012Metric,,1
1uF 10% 100V X7R 1206,C6,C_1206_3216Metric,,1
100nF 10% 50V X7R 0805,C30,C_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C13,C_0805_2012Metric,,1
330R 1% 0805,R46,R_0805_2012Metric,,1
330R 1% 0805,R44,R_0805_2012Metric,,1
75K 1% 0805,R14,R_0805_2012Metric,,1
10m 3W 1% 2512,R25,R_2512_6332Metric,,1
10K 1% 0805,R7,R_0805_2012Metric,,1
75K 1% 0805,R13,R_0805_2012Metric,,1
4.7K 1% 0805,R52,R_0805_2012Metric,,1
33R 1% 0805,R48,R_0805_2012Metric,,1
4.7K 1% 0805,R26,R_0805_2012Metric,,1
4.7K 1% 0805,R37,R_0805_2012Metric,,1
100R 1% 0805,R6,R_0805_2012Metric,,1
2.7K 1% 0805,R4,R_0805_2012Metric,,1
10K 1% 0805,R3,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C29,C_0805_2012Metric,,1
4.7K 1% 0805,R54,R_0805_2012Metric,,1
22uF 10% 25V X7R 1210,C24,C_1210_3225Metric,,1
SS110,D17,D_SMA_Handsoldering,,1
22uF 10% 25V X7R 1210,C22,C_1210_3225Metric,,1
100nF 10% 50V X7R 0805,C34,C_0805_2012Metric,,1
330R 1% 0805,R34,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C4,C_0805_2012Metric,,1
330R 1% 0805,R35,R_0805_2012Metric,,1
75K 1% 0805,R12,R_0805_2012Metric,,1
100nF 10% 50V X7R 0805,C31,C_0805_2012Metric,,1
330R 1% 0805,R43,R_0805_2012Metric,,1
2.2uF 100V 1206,C32,C_1206_3216Metric,,1
10K 1% 0805,R57,R_0805_2012Metric,,1
2.2uF 100V 1206,C39,C_1206_3216Metric,,1
10K 1% 0805,R56,R_0805_2012Metric,,1
2.2uF 100V 1206,C46,C_1206_3216Metric,,1
10K 1% 0805,R39,R_0805_2012Metric,,1
2.2uF 100V 1206,C36,C_1206_3216Metric,,1
2.2uF 100V 1206,C26,C_1206_3216Metric,,1
10K 1% 0805,R58,R_0805_2012Metric,,1
10K 1% 0805,R38,R_0805_2012Metric,,1
2.2uF 100V 1206,C35,C_1206_3216Metric,,1
10K 1% 0805,R55,R_0805_2012Metric,,1
